主题码,主题名,成员标签数,成员标签
C21,多模态脑电融合分析,52,多任务脑电解码、EEG测量装置、EEG颜色神经反馈、EEG颜色反馈刺激、EEG颜色语音反馈、EEG颜色神经反馈呈现、EEG功率谱麻醉监测、EEG频域实时分析、密集EEG数据可视化处理、立体视觉EEG训练方法、EEG信号检测、EEG信号处理致动、EEG注意缺陷评估、EEG-fNIRS融合特征提取、EEG伪影识别神经网络、EEG-fMRI融合手术规划、运动EEG源定位解码、广告注意力EEG评估、跨模态EEG解码框架、多模态EEG识别系统、MRI兼容EEG记录、EEG-fMRI时空融合成像、同步EEG-fMRI去伪迹、EEG多级分类去噪、EEG信号同步装置、EEG同步记录、EEG信号调解同步、EEG刺激同步传输、EEG信号集成同步、EEG三维地图比较、EEG信号存储处理、实时EEG心理状态转换、EEG实时选项选择、EEG-fNIRS融合脑活动分类、EEG同步回放处理、EEG辅助fMRI采集、EEG-fMRI同步采集、EEG反馈回放控制、广告注意EEG评估、EEG诊断内容同步、EEG解码Transformer网络、EEG信号同步分析、EEG同步TMS治疗、EEG-fMRI去噪、握力EEG数据分析、EEG特征分类算法、同步信号采集系统、精神图像神经反馈、EEG伪迹去除方法、精神图像神经反馈训练、时空注意力特征提取、时空卷积脑电解码
C22,脑机虚拟交互控制,24,脑电模型可视化交互、脑电信号游戏交互、脑模型实时交互、脑电模型可视化集成、脑活动增强现实交互、脑机交互沉浸式系统、脑控虚拟对象交互、脑控虚拟对象识别、脑活动虚拟对象交互、思维虚拟对象操控、脑电AR镜子交互、脑电数据三维可视化、脑机交互意图提取、脑电虚拟交互控制、脑电虚拟现实交互系统、多通道自适应脑机交互、VR购物脑控交互方法、干电极脑控VR交互、脑电行为意图交互、脑电信号运动辅助、脑电字符匹配交互、生成式脑机交互界面、VR脑电康复评估、脑电信号选项选择
C23,生物信号虚拟交互,22,生物信号触发控制、生物信号预触发控制、光调制电信号检测、光调制电信号检测评估、VR生物信号交互、生物信号虚拟反馈、生理信号情绪监测、生理信号监测装置、生物信号虚拟现实反馈、头戴式生物信号测量、头戴式生物信号电极、多流生物信号评估、生物信号VR内容调节、生物信号VR状态响应、生物信号VR参数修改、生物信号VR内容调整、VR生物信号参数调整、生物信号助听控制、生物信号虚拟化身控制、多生物电信号交互设备、VR生物信号界面材料、生物信息VR内容输出
C24,闭环神经调控系统,32,闭环神经调制系统、脑电特征刺激闭环控制、闭环疼痛解码神经接口、闭环神经接口装置、闭环植入神经接口、闭环刺激强度调控、闭环神经刺激、闭环神经刺激故障控制、AI闭环神经调控、闭环神经调节刺激、人工智能闭环神经刺激、闭环脑电刺激反馈控制、闭环脊髓刺激系统、闭环神经调制递送、闭环神经刺激系统、闭环神经刺激调控、闭环刺激参数调节、闭环协同神经调控、闭环脑电刺激康复系统、人宠脑机交互刺激、闭环神经调节控制、脑电反馈刺激环路控制、闭环刺激脉冲递送、闭环神经电刺激治疗、闭环神经调制控制、闭环脑电刺激控制、闭环电刺激调控、闭环脑电刺激记忆调控、闭环神经调控学习、脑电闭环康复交互、脑机协同闭环调控、脑机情绪识别安抚
C25,脑电信号模式识别,29,脑内电极阵列刺激、脑电信号特征融合识别、脑信号电刺激电极识别、脑电信号特征分类识别、记忆增强脑信号识别、混合深度学习脑电识别、视觉刺激脑电目标识别、视觉刺激脑电意图识别、脑电信号身份识别、面部表情脑电识别、非侵入脑电信号处理、脑电信号智能分类、脑信号估计意图识别、脑信号学习意图识别、视觉刺激脑机图像识别、脑体信号协同解码、GAN脑电思维导图识别、脑电信号深度学习分类、脑电信号精神状态识别、视觉特征脑电对象识别、脑电信号刺激识别、视觉ERP脑波接口、音频诱导脑电同步、脑电信号特征分析、个性化脑电模式识别、视觉刺激BCI系统、个性化脑卒中检测、脑电信号融合分类处理、脑电信号频段分类识别
C26,神经刺激电极装置,56,光刺激电极递送、视网膜刺激电极制造、微电极阵列刺激装置、电化学联合神经刺激、光刺激电极记录系统、电极矩阵刺激映射、神经刺激电极选择、三维电极阵列刺激、微电极阵列植入应用、压电超声闭环脑深部刺激、压电超声脑深部刺激装置、微电极阵列神经刺激装置、多路复用神经刺激电极配置、微电极阵列植入刺激装置、微电极阵列深部刺激装置、微细探针多电极刺激、多电极激活模式、透明电极光刺激成像、光刺激神经成像电极、多电极激活模式控制、集成电极刺激检测芯片、植入电极神经刺激、多电极闭环癫痫抑制、微电极阵列植入刺激、微电极阵列神经刺激、微电极阵列神经接口、微电极阵列植入监测、柔性神经刺激电极、三维电极刺激引导、电刺激干细胞分化、视皮层微电极刺激、电极位点激活模式、微电极阵列装置、多电极低频刺激、柔性电路刺激电极、光刺激电记录集成电极、神经电刺激选择性、声电联合神经刺激、植入电极刺激参数控制、神经刺激电极寻址、柔性神经刺激电极制造、光刺激电生理检测、集成化神经探针、神经电刺激调控装置、声电耦合神经调控、光刺激电极集成、超声充电神经刺激、多传感光电刺激、载体双侧电极神经刺激、爪式电极神经刺激、可调电极电磁屏蔽、可调电极配置装置、失神脑电阶段评估、阵列式脑电探针、失神癫痫监测干预、植入电极癫痫刺激
C27,认知意识神经评估,39,工作记忆刺激参数优化、工作记忆神经活动评价、脑电功率谱记忆评估、实体关系神经评估、神经判别任务评估、情绪特征评估、认知状态数字内容调整、认知功能评估数据封装、认知特征深度评估、意识障碍脑功能评估、前认知情绪评估、视觉功能联合评估、认知功能刺激评估、视觉功能脑电测量、视觉定位意识评估、意识障碍脑电反应评估、视觉诱发情绪评估、贝叶斯认知状态评估、DOC意识水平神经网络评估、麻醉意识模糊逻辑评估、社交认知状态分析、视觉刺激脑解码评估、任务判别反馈评估、情绪脑成像关联评估、认知任务神经监测、认知任务神经活动监测、认知状态贝叶斯评估、认知响应电活动追踪、认知状态界面模板、视觉刺激情绪评估、产品配方神经评估、监督学习认知任务、认知状态概率评估、视觉认知能力评估、认知状态媒体响应、认知事件有效性查询、意识障碍脑电诊断、意识障碍脑电诊断设备、认知状态内容递送
C28,脑波交互反馈系统,51,脑电夹带技能训练、颅骨脑波测量装置、脑波夹带技能学习、脑波测量轴状刺激、脑电信号免提控制、脑波控制媒体播放、脑波无线设备控制、脑电波购物引导、脑电信号外部设备控制、脑波同步认知训练、脑电控制视频播放、脑电控制设备、脑电信号模拟环境操纵、脑电波虚拟场景调整、脑电波艺术内容控制、脑电游戏属性调整、游戏化脑电波诱导、游戏化脑波评估诱导、游戏化脑波诱导、游戏化脑电波夹带、游戏化脑电波增强、脑电信号共模抑制电路、脑电波控制灯光信号、脑电波远程控制玩具、自适应脑波识别模型、脑电媒体内容调节、脑波特征刺激分析、脑电波诱导内容推荐、脑电控制外部设备、脑波反馈游戏奖励系统、脑电波VR场景调整、脑电生物反馈环境修改、脑电操纵虚拟环境、脑电数据虚拟对象控制、脑波事件识别监测、脑波同步运动模拟控制、VR脑活动刺激反馈、脑波VR交互反馈系统、脑电波视野防晕调节、脑波关联电刺激诱导、脑电波耳机控制、脑电控制虚拟现实、脑电控制智能耳机、脑电信号语音清晰度评估、脑电反馈播放控制、情境脑电波生成、VR脑电闭环调控系统、脑波媒体文件索引播放、脑电控制指令关联、脑电接口动作选择、脑电频谱控制设备
C29,深部脑刺激调控,89,脑电刺激诱导神经可塑性、脑电刺激神经可塑性诱导、脑电刺激神经可塑性调控、光刺激脑电调整、深部脑刺激装置、脑信号电刺激管理、脑信号解码刺激管理、脑信号康复刺激系统、脑电信号分解刺激参数、无线深部脑刺激参数优化、闭环深部脑刺激定位、认知脑信号刺激调控、深部脑刺激参数调整、脑波刺激参数生成、双电极脑电检测刺激、深部脑刺激术中监测、渐进式深部脑刺激调控、脑电信号刺激参数生成、脑刺激神经可塑性恢复、脑刺激神经功能恢复、双侧深部脑刺激装置、无线自适应深部刺激、脑电刺激频率调节、无创脑刺激参数优化、深脑电刺激检测、双极皮层刺激装置、脑刺激参数管理、无线深部脑刺激系统、闭环深部脑刺激、脑刺激优化治疗方案、深部脑刺激电流场控制、深部脑刺激驱动信号、深度脑刺激参数确定、无线深部脑刺激装置、动态电荷平衡脑刺激、动物脑电刺激实验、动物机器人脑电刺激控制、脑深部电刺激控制、脑电驱动功能电刺激、脑电控制下肢康复刺激、深部脑刺激参数优化、脑电功能电刺激康复、双作用神经接口电极、脑区电刺激神经调节、无线脑刺激调控、脑电波分解刺激参数生成、深部脑刺激治疗、慢性疼痛神经调控、脑深部刺激靶点定位、脑刺激与脑电记录、脑电刺激参数显示、脑电刺激管理显示、脑刺激可塑性检测、感觉刺激脑活性检测、脑状态检测认知刺激、深部脑刺激参数确定、治疗协议生成、无创脑刺激模式、脑机接口神经刺激、同频刺激脑电改善、脑刺激装置监测评估、脑电刺激参数决策、脑刺激记忆评估、脑状态关联康复程序、视觉刺激脑机接口、脑部刺激与人工智能、脑电步态康复刺激、同步感觉刺激脑电、脑机接口感官刺激、嗅觉味觉脑机康复、脑电接口刺激检测、动物脑电闭环调控、感官刺激脑电评估、动机刺激脑电检测、脑电刺激频率参数确定、脑电刺激显示控制、感觉刺激脑电标记、感觉刺激注意力评估、脑刺激方案优化识别、光刺激脑同步反馈、多感官状态适配控制、感官电信号脑机刺激、感官电信号情绪识别、感官电信号转换输出、脑刺激成瘾康复、脑波刺激响应分析、脑电治疗参数生成、脑刺激域选择EEG分析、视觉刺激脑机接口识别
C30,脑电神经反馈康复训练,39,定时神经刺激训练康复、交互式脑电反馈训练、脑电运动康复监测、SSVEP康复训练反馈、脑电警觉性训练反馈、脑电运动联合康复反馈、脑电运动康复反馈、运动生物反馈监测、P300脑电康复训练、脑电神经反馈训练系统、脑电浓度反馈康复、脑电VR康复训练系统、个性化神经反馈系统、脑电生物反馈训练、脑电神经反馈训练、脑电神经反馈游戏、脑活动视觉对象识别、多模式神经反馈训练、脑电神经反馈治疗、脑电警觉性量化分类、脑电浓度警觉指数分析、脑电神经反馈虚拟环境调节、生理反馈VR神经训练、生物反馈学习优化、生物反馈VR训练适配、脑电比较神经反馈、神经反馈康复训练、脑电智能培训纠错、脑电VR融合交互系统、运动想象神经反馈训练、多人协作神经反馈训练、运动想象康复系统、脊柱侧弯康复系统、神经生物反馈康复、神经反馈运动康复、运动康复脑电反馈系统、脑电VR康复训练、联邦学习康复评估、脑电波模式重训练
C31,植入式神经接口系统,19,植入接口连接器、可植入神经接口放大、跨模态神经接口系统、跨模式神经接口、神经接口系统、神经探针植入采集、可变形神经接口载体、可植入神经刺激引线、可变形皮层电极阵列、神经植入物递送接口、植入电极引线连接、神经接口信号转换、植入式神经接口记录、植入式神经接口系统、神经探针电极植入、神经形态认知通信、神经接口触觉交互、神经接口触觉反馈、神经接口信息安全保护
C32,脑电信号评估分析,64,脑电数据认知评估、脑电信息医学诊断评估、脑失衡分类评估、认知功能改善脑电分析、步态康复脑机接口评估、脑电酒类评价方法、脑电感官评价算法、脑波图像评估分析、脑电数据标记评估、认知功能电活动评估、脑电情感评估系统、气味情绪脑电评估、脑电认知功能评估、脑电感官客观评价、双任务脑波评估、味觉脑电评估方法、注意缺陷脑电评估、脑电信号抑郁评估、脑电投影内容评估、脑电疲劳监测评估、消费者神经响应评估、脑电激活指数评估、脑波认知功能评估、脑电情绪状态评估、脑认知功能检测评估、脑功能网络诊断分析、认知功能评估方法、定量脑电教育评估、脑电康复评估系统、双模态脑功能检测、脑功能网络演化评估、脑电用户体验评估、双域脑电注意力监测、脑电疲劳检测网络、脑数据神经评估、脑电活动评估诊断、脑功能信号处理评估、脑电波情绪投入度分析、认知任务脑电评估、脑电感觉能力评估、脑电认知能力评估、脑电无监督认知负荷评估、脑电信号定量精神状态评估、脑数据动态分析、脑电图像评估、脑电信号全脑分析评估、脑电情绪反应监测、脑电信号诊断分析、语义处理脑电评估、脑对称性运动参数分析、认知功能评估系统、语言处理脑电评估、脑电单音节语音评估、脑电信号感官评价、脑电图像兴趣评估、脑电用户画像测评、脑电精神障碍诊断、脑电信号智能诊断分析、脑电活动脉冲分析、脑电情绪决策分析、认知功能评估测试、脑电情绪消费评估、认知任务脑电检测、脑电活动模式分类
C33,神经信号采集解码,71,神经信号修复与分类、机器学习疼痛解码刺激、神经信号采集转换滤波、无线神经信号采集、神经信号刺激模式调整、神经信号混合聚类分析、神经刺激信号传输、神经信号机器学习估计、低功耗神经信号采集芯片、神经语音解码模型、神经语音解码重建、深度学习神经解码、神经信号无线采集转换、神经信号刺激平衡分析、神经信号检测刺激康复、神经信号编码模型、神经活动信号传输、稳定电刺激神经信号分析、神经信号外部控制、神经信号处理与自适应解码、深度学习脑电意图识别、神经刺激信号生成、神经信号自适应校准、深度学习精神属性识别、神经信号内容递送、神经信号采集处理、神经信号感官配对、神经生理信号特征分解、神经信号设备控制、神经信号特征处理、深度递归神经解码、神经信号变化设备控制、视觉编码模型构建、视觉编码体素预测模型、神经生理事件识别、神经信号特征推断、自适应神经信号校准、伸缩式干电极舒适采集、神经信号控制设备、神经信号电子设备控制、神经信号关联校准、神经信号产品定制、神经信号特征分解、机器学习治疗响应预测、神经信号数据分类重组、无线脑电测量头戴装置、深度学习运动意图解码、神经信号分类记录、神经信号特征分析、神经刺激信号机器学习、神经信号对象关联、神经信号对象关联校准、注意力检测算法、神经信号关注关联校准、神经活动语言映射分析、自适应脑机接口校准、神经活动监测分析、深度学习脑电认知调节、触觉神经信号反馈、神经响应对象关联调制、无线脑电实时监测、神经信号估计训练、生理信号分类分析、无线EEG监测系统、无线脑电采集装置、无线脑电监测刺激、神经信号意图解码、神经信号关联校正、神经响应意图区分、神经生理信号特征分析、深层脑电特征识别
C34,脑电图像生成与映射,54,皮层脑电控瘫痪肌肉、脑电成像联合治疗、脑电机器学习疾病诊断、脑电地形图插值显示、脑电认知状态显示调整、AR脑机意图映射、脑功能成像商标判定、动态加权脑电特征融合、脑电图像痴呆诊断、脑电信号图像生成、脑电图像相似判断、脑电相似性维度压缩、EEG图像特征映射、多语义脑电图像重建、脑电相关系数图像分类、脑电图图像生成、脑电图像生成控制、耳脑电语音成像、脑电三维成像方法、脑电图像生成处理、脑电情绪图像生成、脑电生成人脸图像、脑电图像特征映射、脑功能磁共振网络分析、脑电图像重建网络、脑电图像标注优化、多视角脑电特征融合、扩散模型脑电图像生成、脑电图像特征对齐映射、脑电三维动态成像、脑电动态皮质成像、动态皮层电成像定位、脑岛皮层脑电建模、皮层电活动三维成像、脑电三维定位成像、MRI兼容脑电帽、MRI兼容脑电电极、脑电能量头盔显示、生成式脑电图像生成、耳脑电语音想象识别、脑电波识别交互头盔、眼动脑电控制交互、脑成像运动模式选择、脑成像幻肢康复、脑成像数据解码、全脑磁信号实时处理、全脑磁信号神经反馈、数字孪生脑电仿真、脑电波分析评估、儿童脑磁采集诊断、脑电报告模板生成、脑电图帽结构、脑电图像生成模型、癫痫发作三维建模
C35,神经刺激参数优化,58,刺激波形特性调整、刺激电极配置优化、神经刺激参数调节、神经刺激参数优化、伪随机刺激参数调节、刺激序列时序控制、刺激采集时序控制、刺激场分布监测、植入式脑刺激电流装置、刺激参数优化响应模型、刺激引线定位引导、神经刺激参数调整、优化神经刺激治疗方案、神经刺激参数调整方法、患者特异刺激参数优化、植入式电极电场装置、电刺激参数优化、诱发电位刺激参数优化、兴奋性难治性参数测定、刺激参数反馈优化、光电信刺激装置、电场梯度定位刺激、神经刺激序列调控、光电信联合刺激、刺激参数动态调节、前庭电刺激装置、神经刺激模式调控、序列神经刺激装置、脑刺激靶点选择系统、刺激序列纤维募集、矢量场刺激参数调控、刺激参数自适应反馈、植入式脑电刺激映射、刺激神经募集估计、刺激波形生成与EEG分析、感应脑刺激植入装置、脑区间同步刺激调控、电针刺激参数优化、植入式脑电刺激装置、刺激参数调整治疗、脑电信号睡眠刺激装置、神经刺激参数自动优化、植入刺激器定位方法、不应期刺激序列控制、脑电引导刺激定位、植入式交变电场电极装置、感觉皮层神经刺激、电刺激信号源定位、神经刺激参数调控、植入体遥测数据传输、延迟刺激神经调控、P300脑电信息选择、P300刺激序列选择、P300脑电测量刺激、CFF视觉刺激信号处理、CFF动态刺激参数调整、P300脑电知识检测、脑电刺激癫痫调控
C36,自适应神经刺激调控,17,自适应神经刺激方法、自适应脑刺激参数调整、自适应神经刺激参数调整、自适应神经刺激信号、自适应神经刺激治疗、自适应神经刺激波形、环境自适应神经刺激、自适应深部脑刺激、脑电意图识别电刺激、自适应神经刺激生成、脑电意图自适应刺激、自适应闭环脑深部刺激、自适应学习刺激系统、生理信号自适应滤波、脑刺激自适应认知训练、tACS干扰自适应消除、脑刺激自适应调控
C37,神经调节刺激控制,61,定向电场神经调控、迷走神经刺激验证、头部接触神经刺激装置、多参数神经刺激调控、神经调节信号递送系统、多电极深部脑刺激、脑电相位同步刺激、迷走神经脑功能调节、神经元放电节律调节、迷走神经刺激调节、神经信号通路调节、神经调节触发配置、脑电监测电刺激诊断、脑电监测神经刺激治疗、药物释放神经调控、运动诱发电位神经调节、神经功能障碍检测调节、多电极闭环神经调控、多通道闭环神经调控、刺激组合神经调节、多电极低频神经刺激、神经调节刺激远程滴定、多通道神经刺激控制、多参数听觉刺激诱导睡眠、自适应神经电刺激调节、超声神经调节装置、迷走神经刺激参数调整、多靶区经颅电刺激、自适应脑电刺激调节、迷走神经刺激调控、神经调节生物标志物、神经调节信号递送、神经反应感测调节、条件刺激神经调控、神经调节刺激控制、神经调节闭环控制、超声神经调节技术、自适应电刺激调控、多通道闭环脑电响应、定制经颅交流刺激、个体化神经调控、定向脑深部刺激、定向刺激电极定位、神经节律刺激调控、刺激序列神经调控、脑电相位同步刺激调控、脑电复杂度神经调控、迷走神经信号增强、生物电心理唤醒调节、神经调节治疗匹配、神经刺激临床方案匹配、本体感觉运动恢复、神经调节信号分析、神经调节匹配治疗、神经刺激相位调制、迷走神经刺激信号估计、神经生理反应验证控制、超声神经调节系统、个性化超声神经调节、神经通路刺激调节、中医经颅刺激诊疗
C38,事件相关电位分析,10,脑电任务调度与ERP识别、多通道ERP脑电分析、语音清晰度ERP评估、听觉ERP测量抑制、语音理解ERP检测、语音听觉ERP评估、单音节ERP烦恼检测、ERP图片语义检索、语音清晰度ERP评价、脑电事件相关电位分析
C39,脑活动监测与解码,29,脑状态模型刺激、脑状态模型生成、脑状态反馈调节、脑波情绪按摩调节、脑活动模式检索匹配、脑波模式分类报警、脑波融合处方系统、脑活动游戏属性调整、脑活动模式匹配检索、脑活动产品定制系统、脑活动产品配方定制、脑状态神经模拟、脑活动模型验证、多模态脑活动监测、脑活动解码模型、多模态脑活动解码、脑活动相似性可视化、多模态脑信号解码、脑活动状态诊断分析、脑活动定位相关性分析、多模式脑活动监测、脑活动游戏交互、脑状态产品配方定制、脑活动意图反馈、脑活动评估比较、脑活动解码重建、脑活动精神状态调节、脑波情绪评估干预、脑电-磁共振联合分析
C40,脑电虚拟现实交互,19,脑电虚拟现实治疗、虚拟现实神经响应评估、脑电虚拟现实评估、虚拟现实情感交互、情绪识别虚拟现实、脑电范式情感评估、情绪诱发识别系统、虚拟现实营销评估、脑电训练虚拟现实调节、实时脑电活动呈现、虚拟现实脑活动干预、虚拟现实脑电交互、虚拟现实渴求评估、虚拟现实执行控制监测、脑电虚拟现实康复训练、脑电虚拟现实情绪评估、虚拟现实眩晕检测、压力评测虚拟现实、情绪识别脑电通道选择
C41,脑电电极采集装置,53,自适应脑电电极装置、听觉脑干电极定位、脑电电极固定装置、脑信号感测电极选择、弹性脑机接口电极、表面电极脑电采集、脑内电极信号采集、干电极脑电采集装置、爪式脑电电极结构、弹性电极头皮接触采集、干电极脑电采集、弹性电极倾斜调节、弹性电极固定装置、弹性帽脑电电极、脑电电极空间定位方法、脑电电极定位引导、干电极脑电测量、弹性电极脑电测量、可调伸缩电极脑电监测、可伸缩干电极双通道采集、干电极脑电采集优化、小动物脑电电极装置、便携干电极脑电采集、脑电电极结构设计、脑电采集电极装置、脑电电极稳定装置、弹性头戴电极定位装置、脑电图记录电极装置、脑电采集电极干扰抑制、凝胶电极脑电采集、可调干电极脑电帽、脑电电极定位装置、脑电电极头戴定位、脑电信号记录电极、实时脑电信号采集、脑电电极分辨率增强、弹性干电极装配、干电极脑电检测、可拆卸脑电电极装置、半湿式脑电电极、弹性电极定位系统、入耳式脑电电极、脑电电极稳定设计、弹性头带脑电采集、弹性接头脑电极、入耳式脑电数据传输、脑电电极隔离结构、可伸缩探针脑电采集、脑电电极电磁屏蔽、可调脑电电极装置、动物脑电电极装置、弹性电极定位装置、微电极脑电测量
C42,脑电听觉调控降噪,25,声源定向脑电触感、声源定向脑电交互、脑电响应性刺激、聚焦超声脑调控接口、聚焦超声脑间接口、听觉显示盲导装置、脑电听觉显示引导、脑电刺激响应评估、脑电超声全息输出、脑电匹配治疗响应、脑响应系统辨识、运动识别脑电去噪、脑电信号降噪处理、脑同步反馈峰值检测、脑电兴奋抑制评估、脑电响应助听器、脑电信号噪声消除、脑电不适阈值估计、助听器不舒适阈值估计、脑磁图响应分析、脑电信号预处理识别、脑电声源关注识别、声源定位EEG电极选择、声源关注识别、脑电声源选择助听
C43,癫痫监测预测干预,22,皮层癫痫灶定位、颅外脑电癫痫监测、植入电极癫痫监测、颅外脑电癫痫监护、颅内脑电病灶定位、癫痫发作预测预防、血管内脑电癫痫干预、癫痫发作检测系统、癫痫事件检测预警、癫痫检测视频EEG系统、癫痫发作视频EEG监测、癫痫事件检测记录系统、VR癫痫风险预测、植入式脑电耦合监测、皮层脑网络异常检测、癫痫发作预测算法、脑电预测癫痫发作、VR内容癫痫风险预测、癫痫发作分段警报、癫痫发作分段检测、癫痫发作预测检测、癫痫发作监测装置
C44,脑电频率识别分析,15,脑电匹配视频帧率刺激、脑电共振刺激频率识别、脑电频率匹配认知增强、脑电治疗频率识别、脑电波分析学习增强、脑电频率视野检测、脑电频率解码意图形状、脑电频率模式意图识别、脑电刺激源情感分类、脑电节律频率识别、脑电范式分类识别、脑电频率时间分析、脑电频率数据分析、脑电频谱意图识别、脑电频谱意图控制
